LI,EF,DF,HL,rollout_method,hertg_method,done,percent_done,cumulative_reward,num_actions,computation_time,computation_per_action
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,310.6314630339998,2.070876420226665
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,312.90664879199994,2.0860443252799996
100,0.1,1.0,6,same,static,True,100.0,6.947711054834675,150,323.6031586940003,2.1573543912933353
100,0.1,1.0,6,same,static,True,100.0,6.950000000000001,143,254.38828887199998,1.7789390830209788
100,0.1,1.0,6,random_same,static,True,100.0,6.936830342309928,50,99.69244702100013,1.9938489404200026
100,0.1,1.0,6,random_same,static,True,100.0,6.936830342309928,50,103.37383341400027,2.0674766682800056
100,0.1,1.0,6,random_same,static,True,100.0,6.936830342309928,50,101.57378051500018,2.031475610300004
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,198.32123170800014,1.8534694552149547
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,195.47797051899988,1.8268969207383166
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,205.32057369800032,1.9188838663364516
100,0.1,1.0,6,random_same,static,True,100.0,6.936830342309928,50,112.99893795799971,2.2599787591599942
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,197.0027416109997,1.8411471178598102
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,197.2011488590001,1.8430013912056085
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,193.88879747800001,1.8120448362429908
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,195.72821148100002,1.8292356213177572
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,198.01341838999997,1.8505926952336447
100,0.1,1.0,6,same,static,True,100.0,6.95,135,249.94098778399984,1.8514147243259247
100,0.1,1.0,6,same,static,True,100.0,6.95,135,257.02014371999985,1.9038529164444433
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,197.531244366,1.8460863959439253
100,0.1,1.0,6,same,static,True,100.0,6.95,135,254.82201686999997,1.8875704953333332
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,204.62067613299996,1.9123427675981304
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,194.39762111200025,1.8168001973084136
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,200.71415794699988,1.8758332518411203
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,194.93799040500016,1.821850377616824
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,208.0159379050001,1.9440741860280384
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,197.48856358600005,1.8456875101495331
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,203.6809314709999,1.9035601072056065
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,214.49878525999975,2.004661544485979
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,209.1492988179998,1.9546663440934562
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,197.73747363999973,1.848013772336446
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,202.0728064949999,1.888530901822429
100,0.1,1.0,6,same,static,True,100.0,6.95,135,278.1347882089999,2.0602576904370364
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,209.94787711599975,1.9621296926728948
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,205.52221139799985,1.9207683308224286
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,207.361378909,1.9379568122336448
100,0.1,1.0,6,random_same,static,True,100.0,6.949999999999998,107,208.5723024670001,1.9492738548317767
100,0.1,1.0,6,random_same,static,True,100.0,6.950000000000002,105,180.68989263100002,1.7208561202952384
100,0.1,1.0,6,random_same,static,True,100.0,6.950000000000002,105,184.95644309,1.7614899341904762
100,0.1,1.0,6,random_same,static,True,100.0,6.950000000000002,105,183.02723731300057,1.7431165458381006
100,0.1,1.0,6,random_same,static,True,100.0,6.881149968409078,196,355.190800804,1.8121979632857141
100,0.1,1.0,6,random_same,static,True,100.0,6.950000000000002,105,192.5176779190001,1.8335016944666678
100,0.1,1.0,6,random_same,static,True,100.0,6.881149968409078,196,361.76245930300047,1.845726833178574
100,0.1,1.0,6,random_same,static,True,100.0,6.881149968409078,196,365.1989215469998,1.8632598038112236
100,0.1,1.0,6,random_same,static,False,83.33333333333334,5.745958581931029,200,321.737167496,1.60868583748
100,0.1,1.0,6,random_same,static,False,83.33333333333334,5.745958581931029,200,335.35919445599984,1.6767959722799992
100,0.1,1.0,6,random_same,static,False,83.33333333333334,5.745958581931029,200,334.8362743919997,1.6741813719599987
100,0.1,1.0,6,random_same,static,False,83.33333333333334,5.745958581931029,200,339.65002084900016,1.698250104245001
100,0.1,1.0,6,random_same,static,False,83.33333333333334,5.745958581931029,200,334.6547196010001,1.6732735980050006
100,0.1,1.0,6,random_same,static,False,83.33333333333334,5.745958581931029,200,336.26866496100047,1.6813433248050023
